"","grid_id","repl","dispersal","plevel","ptype","pext","ext_pops","ext_pops_after","mean_cv","cv_reg","mean_10_during","min_10_during","max_10_during","mean_10_after","max_10_after","min_10_after","mean_cv_10_after","cv_reg_10_after"
"8564","ring-random",20,0.3,"0.6","correlated","0.1",0,0,0.389543907869515,0.198100419666849,2629.70753595654,2448.09195146387,2949.1164349343,2338.07480371755,2945.52808868537,1955.94041786721,0.334687812406346,0.126499489718312
"8565","ring-random",20,0.3,"0.9","correlated","0.1",0,0,0.427211698253589,0.228403496975212,2534.05565780328,1868.16819802274,3030.29556018541,2134.6880457665,2606.04740607541,1958.69650710022,0.317285466458615,0.0853148716892049
"8566","ring-random",20,0.3,"0.3","hub","0.1",0,0,0.391054607038139,0.200273765927567,2460.02469378456,2129.61356023834,2746.07070124639,2309.18522041026,2883.1881801795,2030.30606245237,0.342655188410519,0.107647388656434
"8567","ring-random",20,0.3,"0.6","hub","0.1",0,0,0.402061814362062,0.207601445396901,2642.93795964551,2375.20878763902,3232.58712151753,2450.464493253,2751.27834789934,2188.17339837799,0.323162673565582,0.0824750701171436
"8568","ring-random",20,0.3,"0.9","hub","0.1",0,0,0.415338262867915,0.195491197516113,2477.9639335882,2329.21410936778,2737.43197449663,2256.86833717993,2450.88308674093,2059.74307230306,0.338937919701167,0.0652512881989566
"8569","ring-random",20,0.3,"0.3","random","0.5",0,0,0.402126376090687,0.216379948387849,2702.67568850833,2197.58939702816,3079.21513398963,2057.46448050149,2304.14941935618,1834.22742854987,0.294796049399878,0.0766666926685056
"8570","ring-random",20,0.3,"0.6","random","0.5",0,0,0.417294968163427,0.215684360061763,2634.42423835304,2266.17677398386,3144.10092690735,1723.86578427817,1837.34262160799,1491.06232489495,0.289874685037541,0.0613358941771256
"8571","ring-random",20,0.3,"0.9","random","0.5",0,0,0.402538542483042,0.212912441038251,2488.94240631347,2044.80453815919,2861.1955935868,1187.50660277541,1508.11814997317,1005.33213505545,0.360511211109092,0.15981956441435
"8572","ring-random",20,0.3,"0.3","correlated","0.5",0,0,0.4124874295353,0.198401317742807,2686.8896492449,2188.05848783907,3181.35664964181,2167.4164371556,2625.93812889078,1951.51364972035,0.327968291727081,0.0947839732165468
"8573","ring-random",20,0.3,"0.6","correlated","0.5",0,0,0.409131715343581,0.205888148397773,2651.20105151588,2385.10843391304,2859.71507031647,1847.35958522778,2167.32179829916,1517.18027391956,0.273470195536552,0.117387413904049
"8574","ring-random",20,0.3,"0.9","correlated","0.5",0,0,0.402416067896524,0.199342003018633,2732.46852914055,2296.41791867077,3305.50514268744,1327.73979036697,1591.04196262085,1113.2810023132,0.395826637150105,0.124256433161641
"8575","ring-random",20,0.3,"0.3","hub","0.5",0,0,0.404500351279051,0.211602657260318,2436.53470914928,2188.53692962434,3012.65486778372,1965.93471092663,2221.39126417291,1751.01050078569,0.30420807232182,0.0689171270743365
"8576","ring-random",20,0.3,"0.6","hub","0.5",0,0,0.408303822439034,0.204064365526161,2524.30929189467,2246.12717901529,2700.55074559211,1786.3900073797,2021.93221175195,1587.68520146817,0.290204065730964,0.0759771847045591
"8577","ring-random",20,0.3,"0.9","hub","0.5",0,0,0.402195660818613,0.206574696581071,2502.85147317197,2244.27471230998,2917.33185018211,1264.10504767431,1462.12157148562,1108.06059235334,0.315123963593655,0.0882546937251135
"8578","ring-random",20,0.3,"0.3","random","0.9",0,0,0.394499745284694,0.204294614009582,2717.35149932291,2124.63118799848,3689.23075848937,2055.89052774993,2401.40113507606,1815.63321486734,0.319373193763272,0.100156211247052
"8579","ring-random",20,0.3,"0.6","random","0.9",0,0,0.409592408764223,0.210689402638671,2382.15657554747,2007.10933512822,2791.0861111974,1086.25234472174,1238.40168090473,956.846384359473,0.324705896165779,0.0872201129336598
"8580","ring-random",20,0.3,"0.9","random","0.9",0,0,0.394099078211972,0.185657589575398,2381.45949405993,2086.5213452968,2592.2193473896,470.649781272563,573.926893147984,325.447565243398,0.73645502067423,0.187248631904366
"8581","ring-random",20,0.3,"0.3","correlated","0.9",0,0,0.401394911944116,0.197226402927008,2388.15772570182,2111.97634117614,2739.49789844691,1949.24295579145,2238.47573579747,1770.98989138207,0.292220778536059,0.0783477265020203
"8582","ring-random",20,0.3,"0.6","correlated","0.9",0,0,0.394674575041218,0.181595957954279,2396.7754243058,2199.97019917228,2635.80233759717,1211.47935261497,1418.47169123932,1065.93965550531,0.292283870258016,0.0855951984046852
"8583","ring-random",20,0.3,"0.9","correlated","0.9",0,1,0.407673002443255,0.220454339851116,2308.00313826726,2054.15796799663,2563.96033724623,442.27846938236,560.768494600409,332.09602927781,0.515036521021591,0.157971908704962
"8584","ring-random",20,0.3,"0.3","hub","0.9",0,0,0.410676978622559,0.212196302292375,2574.56396088541,2230.51195281869,3131.22131343362,1984.79645799519,2195.33187402712,1850.38448535512,0.352298347105426,0.0598876570070611
"8585","ring-random",20,0.3,"0.6","hub","0.9",0,0,0.401287141147736,0.203052956719649,2749.39025926012,2375.64422104171,3140.7736033293,1159.38238886412,1302.43173441291,1050.74645555904,0.280245438271498,0.0758455036141708
"8586","ring-random",20,0.3,"0.9","hub","0.9",0,1,0.41438537291492,0.220227073611769,2670.89092407703,2214.31531868402,3158.50720413488,422.825176639442,530.549720728632,312.797887264972,0.791780157690582,0.182289312857502
"8587","ring-random",20,0.6,"0.3","random","0.1",0,0,0.396572125222182,0.197343440839559,2634.67353876232,2239.61054110105,3178.12956853153,2250.34428149586,2480.10389733601,1978.14227194009,0.293205000322154,0.0634221894084517
"8588","ring-random",20,0.6,"0.6","random","0.1",0,0,0.407389434939177,0.195837585601014,2553.0831527041,2357.08084236881,2701.35874084379,2568.88831241052,2716.46343436102,2352.31815720673,0.338787471962932,0.0416354255734984
"8589","ring-random",20,0.6,"0.9","random","0.1",0,0,0.388542392212884,0.210009499231706,2441.88276633202,2174.88649976461,2865.05998192918,2423.10178346324,2741.76767359043,2120.32043778795,0.308183965749462,0.0664549548889328
"8590","ring-random",20,0.6,"0.3","correlated","0.1",0,0,0.373602226682899,0.192538129098225,2413.45441838941,2072.91342272209,2814.63124584176,2555.58195618894,2975.87033560206,2229.11156563112,0.297589938758881,0.0799434597887601
"8591","ring-random",20,0.6,"0.6","correlated","0.1",0,0,0.385111194981929,0.200981693801136,2497.55919827797,1974.9461667025,2948.82687860233,2314.02757937607,2682.25386037946,2126.81522446562,0.294324921603405,0.0684794470840839
"8592","ring-random",20,0.6,"0.9","correlated","0.1",0,0,0.395398992202808,0.21018508197623,2400.48500413332,2105.04042898907,2643.38167941941,2138.61528036047,2370.78143506746,1917.87638217848,0.297823920189849,0.0721106115983961
"8593","ring-random",20,0.6,"0.3","hub","0.1",0,0,0.383376963729693,0.209716549219261,2501.25280130768,2046.43802657294,2928.16242051982,2268.00973833999,2600.12259548353,1942.6864532878,0.295173348251025,0.0859387331775145
"8594","ring-random",20,0.6,"0.6","hub","0.1",0,0,0.40542984427636,0.218114823156394,2515.50064535879,2311.7324812985,2864.30320094773,2375.24086269414,2634.14113258161,2122.33767900549,0.315993706121619,0.0643438026357342
"8595","ring-random",20,0.6,"0.9","hub","0.1",0,0,0.389498571449154,0.203734150287347,2661.65229523192,2231.93933857296,2996.16397028676,2194.88968032488,2383.23616095464,2056.48570881967,0.371770397022564,0.0505527226932965
"8596","ring-random",20,0.6,"0.3","random","0.5",0,0,0.407782772885831,0.204248405846512,2496.15163018345,2071.4667712181,2837.33412646207,2656.99613666762,3134.24075638704,2206.44549387865,0.350210318464542,0.116926771607032
"8597","ring-random",20,0.6,"0.6","random","0.5",0,0,0.4119478639149,0.231610160057702,2976.78753908557,2661.93028386638,3339.28648809487,1600.9347707808,1877.02091208577,1215.6536455791,0.313394867921433,0.122798471944138
"8598","ring-random",20,0.6,"0.9","random","0.5",0,0,0.402793747704137,0.219906221329596,2387.65517799305,2266.24070811077,2848.8304584026,1031.09406167094,1268.05290635285,872.89234334842,0.41678193271236,0.131704278060768
"8599","ring-random",20,0.6,"0.3","correlated","0.5",0,0,0.394115657382108,0.203859108320104,2652.68184077844,2305.47723517629,3088.07536234854,2376.64296256665,2540.80218480795,1981.34767468222,0.302332408722224,0.0744648098876876
"8600","ring-random",20,0.6,"0.6","correlated","0.5",0,0,0.396370284581137,0.198528852899864,2442.51821479239,2215.33632601851,2983.28182428982,1813.44303374763,2124.03083617052,1652.66328812125,0.288185050377107,0.0948825230072852
"8601","ring-random",20,0.6,"0.9","correlated","0.5",0,0,0.39190332792675,0.198254978393103,2789.50316061889,2350.01928846846,3388.41112634928,1170.71104691658,1412.79750376235,969.650667588348,0.323713000918217,0.118548888564532
"8602","ring-random",20,0.6,"0.3","hub","0.5",0,0,0.377288682127277,0.194590044358565,2689.76702072943,2466.07579106629,2898.13465031285,2126.11015690097,2364.34893290778,1849.54216859074,0.287099446109823,0.0827630099820392
"8603","ring-random",20,0.6,"0.6","hub","0.5",0,0,0.407227283730783,0.215918085536935,2726.08632820755,2156.78973375059,3510.36037924606,1640.08036558705,1901.43763794817,1455.27491764336,0.297819788656724,0.0768872586860867
"8604","ring-random",20,0.6,"0.9","hub","0.5",0,0,0.385813198799588,0.198816304895581,2600.75232154599,2201.33513332422,3240.57272103397,876.515689650466,1240.77809017151,758.45084972827,0.398698165089866,0.180077984231137
"8605","ring-random",20,0.6,"0.3","random","0.9",0,0,0.379858340153179,0.186127071958308,2741.65860200734,2136.9865911213,3335.75931699578,1956.01184462536,2119.43324937024,1709.81003821224,0.328507502030213,0.0694010198855272
"8606","ring-random",20,0.6,"0.6","random","0.9",0,0,0.398067094215395,0.193872538258413,2870.11252994039,2423.75742514535,3259.13263649269,1194.04915582322,1293.60302111865,1126.66640811,0.282806576247466,0.0452334834558915
"8607","ring-random",20,0.6,"0.9","random","0.9",0,0,0.393344104854494,0.209780025788416,2346.08726853908,2030.52141551454,2625.73188443956,312.195084665325,410.871053545427,224.582562142687,0.442936762425168,0.159182793508451
"8608","ring-random",20,0.6,"0.3","correlated","0.9",0,0,0.404454206950533,0.208701334104505,2425.62132130889,1932.35341346976,2887.56142514139,1873.1430941424,2418.03102863421,1612.26316290284,0.370556164500914,0.128269597506408
"8609","ring-random",20,0.6,"0.6","correlated","0.9",0,0,0.393565642015774,0.211193637196168,2394.09550402242,2007.75552565468,2869.77497993129,1146.35007967628,1361.05441997988,1030.33507288347,0.329671700918262,0.112924216116952
"8610","ring-random",20,0.6,"0.9","correlated","0.9",0,2,0.400351817654142,0.206517752404269,2546.54216323717,2245.76695664379,2889.68710904371,230.851006309881,345.289462425506,175.897738069851,0.676023895587545,0.21690395930748
"8611","ring-random",20,0.6,"0.3","hub","0.9",0,0,0.393049673870639,0.203459387492523,2879.10725580246,2673.31996913322,3478.97655091342,1830.1318263245,2134.73077373495,1557.75224097051,0.282330467102511,0.100207010146886
"8612","ring-random",20,0.6,"0.6","hub","0.9",0,0,0.384579633810739,0.194219636943331,2519.40017485464,2196.76788925146,3199.22512726174,1186.58809725317,1379.95523577441,963.446744286428,0.330654225429009,0.10827277602791
"8613","ring-random",20,0.6,"0.9","hub","0.9",0,0,0.40177841413558,0.228572912280624,2383.83495863806,2171.67528250116,2623.69894976938,418.673369891161,594.974358422767,317.651093987841,0.829759381662011,0.20875020644295
"8614","ring-random",20,0.9,"0.3","random","0.1",0,0,0.395384197716824,0.20278828109396,2508.4007919191,2208.98368821262,2956.56953755464,2442.62321554642,2886.18402905148,1974.35283841686,0.311547739171787,0.112576862303517
"8615","ring-random",20,0.9,"0.6","random","0.1",0,0,0.381014703062499,0.193715111262205,2553.55221979803,2412.32293538801,2830.78139199924,2396.732809936,2748.57730613193,2164.86279678125,0.353617579101975,0.0751498304855523
"8616","ring-random",20,0.9,"0.9","random","0.1",0,0,0.391708567445338,0.221296368743164,2598.60103411118,2195.15543223861,3122.44983245517,2229.31451621193,2523.04481031554,2005.37671684057,0.351700178017855,0.0820409912746125
"8617","ring-random",20,0.9,"0.3","correlated","0.1",0,0,0.398971861593212,0.202141066591558,2337.3009424453,2000.03203375537,2602.16541579269,2405.06346839652,2742.26381487702,1954.87439379795,0.288171979358296,0.109047100701952
"8618","ring-random",20,0.9,"0.6","correlated","0.1",0,0,0.387919297331089,0.205513215642696,2527.34960844695,2277.3048799778,3030.16594387381,2524.39047408763,2804.29477510877,2212.45220989143,0.300087267174901,0.0676474003149642
"8619","ring-random",20,0.9,"0.9","correlated","0.1",0,0,0.403988077888401,0.195258361337649,2669.9646499001,2306.90330192046,3119.70064444007,2067.45483246457,2422.29736725954,1783.97294822994,0.421784594931959,0.0910793540159931
"8620","ring-random",20,0.9,"0.3","hub","0.1",0,0,0.405170463506323,0.211566115499287,2532.33530424065,1920.76615037761,3051.55789351716,2330.42275094515,3142.19418160922,2012.15817985077,0.317414625273211,0.139857322621838
"8621","ring-random",20,0.9,"0.6","hub","0.1",0,0,0.387169731841084,0.204208326001697,2491.87382977427,2212.31561212604,2888.54757552096,2310.31902882749,2523.56818361612,1985.23396658099,0.334762836036891,0.0654501536425423
"8622","ring-random",20,0.9,"0.9","hub","0.1",0,0,0.384792307388586,0.201483154938645,2477.82134516576,2195.66609615089,2868.9236797928,2277.58517908809,2465.15530750078,2192.56382671725,0.466620414336685,0.0376651492349864
"8623","ring-random",20,0.9,"0.3","random","0.5",0,0,0.406379557695779,0.190868728371507,2686.92194118871,2476.25497519432,3012.02822320622,2072.70910434837,2362.73550830956,1753.17478932917,0.311229677178135,0.113344390108654
"8624","ring-random",20,0.9,"0.6","random","0.5",0,0,0.384081372440596,0.177417488047494,2427.51829190328,2101.8102482553,2638.11936682539,1760.79167319037,1914.20820706787,1547.70008181966,0.32236889053066,0.0795056243502069
"8625","ring-random",20,0.9,"0.9","random","0.5",0,0,0.397994644890408,0.215996420576497,2389.66070674157,1923.00322215877,2955.95897832263,763.981821732361,1002.84200980539,617.681936467776,0.426358678378804,0.144420700997691
"8626","ring-random",20,0.9,"0.3","correlated","0.5",0,0,0.391853884270729,0.196511413132432,2667.51906156158,2366.68027264968,3026.72745331497,2082.621835531,2267.89487859254,1921.45610288865,0.30855244173001,0.0615891686843511
"8627","ring-random",20,0.9,"0.6","correlated","0.5",0,0,0.416102766889025,0.213252438740353,2608.14768750027,2197.73167293836,2991.47308273792,1652.7299012778,1839.44100827696,1507.57610452184,0.322424431348681,0.0760163238598287
"8628","ring-random",20,0.9,"0.9","correlated","0.5",0,0,0.382519773936781,0.187882986851779,2572.53223976593,2272.65948235898,2743.29278435183,1013.74123048442,1244.37287491532,885.13501259502,0.355193878270674,0.112996573703557
"8629","ring-random",20,0.9,"0.3","hub","0.5",0,0,0.394953241201916,0.202993444388972,2582.75200702361,2190.72255723567,3064.8081777692,2194.26479615215,2530.00772972766,1841.32834968774,0.335326763923561,0.110107497612645
"8630","ring-random",20,0.9,"0.6","hub","0.5",0,0,0.385570172486674,0.195270200604079,2486.11187890253,2203.3667036782,2966.96456487143,1740.6978559553,2078.44421559119,1455.27943187678,0.318922432023656,0.108314504169684
"8631","ring-random",20,0.9,"0.9","hub","0.5",0,0,0.387443305939231,0.200428616176916,2493.67101604613,2175.99573411129,2661.29389424286,655.395147935255,756.992352013665,490.999360556006,0.482368350160845,0.118275656686887
"8632","ring-random",20,0.9,"0.3","random","0.9",0,0,0.391197066275103,0.197435103424752,2467.62726928687,2324.82346152787,2759.49774271194,1878.92839815986,2242.84254875438,1393.58843291256,0.344789298962833,0.148318205477111
"8633","ring-random",20,0.9,"0.6","random","0.9",0,0,0.386531464643123,0.197559511479157,2672.76481537873,2297.44505444583,3036.6966646627,1163.38678157046,1350.48128736507,1024.37363462584,0.322417754062021,0.0954699944931997
"8634","ring-random",20,0.9,"0.9","random","0.9",0,0,0.418870821927955,0.211784155468161,2538.29988740225,2205.41511014894,2930.96790652091,248.085956976507,392.694860938886,115.418541803387,1.01882060092133,0.4149536040162
